instance,N,method,vars,max_bqm,valid_pct,best_dist,t_s
C101.csv-N5,5,EXACT-OPT,-,-,-,42.4,-
C101.csv-N5,5,FQS,50,50,100.0,72.7,0.7
C101.csv-N5,5,DECOMP-OH,75,10,100.0,74.7,0.8
C101.csv-N5,5,DECOMP-DW,50,10,100.0,74.7,0.8
C101.csv-N10,10,FQS,300,300,100.0,inf,5.3
C101.csv-N10,10,DECOMP-OH,217,30,100.0,123.9,2.5
C101.csv-N10,10,DECOMP-DW,162,30,100.0,123.9,2.1
R101.csv-N5,5,EXACT-OPT,-,-,-,156.3,-
R101.csv-N5,5,FQS,75,75,100.0,156.4,1.2
R101.csv-N5,5,DECOMP-OH,32,15,100.0,156.6,0.4
R101.csv-N5,5,DECOMP-DW,24,15,100.0,156.6,0.3
R101.csv-N10,10,FQS,600,600,100.0,inf,14.9
R101.csv-N10,10,DECOMP-OH,129,60,100.0,312.1,1.7
R101.csv-N10,10,DECOMP-DW,99,60,100.0,312.1,1.4
RC101.csv-N5,5,EXACT-OPT,-,-,-,89.1,-
RC101.csv-N5,5,FQS,75,75,100.0,155.6,1.1
RC101.csv-N5,5,DECOMP-OH,29,15,100.0,233.9,0.3
RC101.csv-N5,5,DECOMP-DW,23,15,100.0,233.9,0.3
RC101.csv-N10,10,FQS,500,500,100.0,410.3,10.5
RC101.csv-N10,10,DECOMP-OH,168,50,100.0,382.9,2.0
RC101.csv-N10,10,DECOMP-DW,120,50,100.0,382.9,1.7
